ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
246CE36D3EB906DB46AED87D79A2FE25,246CE36D3EB906DB1B76878AF494185F,2021-02-21 00:00:00,001,颗粒物,0.8,20,,0,0,2021-02-22T09:26:17.22,2021-02-22T09:26:56.607,20210221
246CE36D3EB906DB46AED87D79A2FE25,246CE36D3EB906DB1B76878AF494185F,2021-02-21 00:00:00,002,二氧化硫,29.93,80,,0,0,2021-02-22T09:26:17.22,2021-02-22T09:26:56.607,20210221
246CE36D3EB906DB46AED87D79A2FE25,246CE36D3EB906DB1B76878AF494185F,2021-02-21 00:00:00,003,氮氧化物,150.9,250,,0,0,2021-02-22T09:26:17.22,2021-02-22T09:26:56.607,20210221
246CE36D3EB906DB46AED87D79A2FE25,246CE36D3EB906DB1B76878AF494185F,2021-02-21 00:00:00,004,一氧化碳,1.05,80,,0,0,2021-02-22T09:26:17.22,2021-02-22T09:26:56.607,20210221
246CE36D3EB906DB46AED87D79A2FE25,246CE36D3EB906DB1B76878AF494185F,2021-02-21 00:00:00,008,氯化氢,19.1,50,,0,0,2021-02-22T09:26:17.22,2021-02-22T09:26:56.607,20210221
246CE36D3EB906DB46AED87D79A2FE25,246CE36D3EB906DBE1B7C2A46DA3BE93,2021-02-21 00:00:00,001,颗粒物,0.26,20,,0,0,2021-02-22T09:26:17.22,2021-02-22T09:26:56.607,20210221
246CE36D3EB906DB46AED87D79A2FE25,246CE36D3EB906DBE1B7C2A46DA3BE93,2021-02-21 00:00:00,002,二氧化硫,17.62,80,,0,0,2021-02-22T09:26:17.22,2021-02-22T09:26:56.607,20210221
246CE36D3EB906DB46AED87D79A2FE25,246CE36D3EB906DBE1B7C2A46DA3BE93,2021-02-21 00:00:00,003,氮氧化物,141.46,250,,0,0,2021-02-22T09:26:17.22,2021-02-22T09:26:56.607,20210221
246CE36D3EB906DB46AED87D79A2FE25,246CE36D3EB906DBE1B7C2A46DA3BE93,2021-02-21 00:00:00,004,一氧化碳,3.75,80,,0,0,2021-02-22T09:26:17.22,2021-02-22T09:26:56.607,20210221
246CE36D3EB906DB46AED87D79A2FE25,246CE36D3EB906DBE1B7C2A46DA3BE93,2021-02-21 00:00:00,008,氯化氢,18.41,50,,0,0,2021-02-22T09:26:17.22,2021-02-22T09:26:56.607,20210221
